"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.114","216.58.202.78","QUIC","1392","Client Hello, PKN: 1, CID: 8078816096596009384"
"2","0.000761","192.168.1.114","216.58.202.78","TCP","66","50616  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"3","0.021196","216.58.202.78","192.168.1.114","TCP","66","443  >  50616 [SYN, ACK] Seq=0 Ack=1 Win=42780 Len=0 MSS=1380 SACK_PERM=1 WS=256"
"4","0.021494","192.168.1.114","216.58.202.78","TCP","54","50616  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0"
"5","0.022408","192.168.1.114","216.58.202.78","TLSv1.2","571","Client Hello"
"6","0.050842","216.58.202.78","192.168.1.114","TCP","54","443  >  50616 [ACK] Seq=1 Ack=518 Win=44032 Len=0"
"7","0.051039","216.58.202.78","192.168.1.114","TLSv1.2","210","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"8","0.051570","192.168.1.114","216.58.202.78","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"9","0.054785","192.168.1.114","216.58.202.78","TLSv1.2","147","Application Data"
"10","0.055252","192.168.1.114","216.58.202.78","TLSv1.2","258","Application Data"
"11","0.055405","192.168.1.114","216.58.202.78","TLSv1.2","593","Application Data"
"12","0.062694","216.58.202.78","192.168.1.114","QUIC","77","Payload (Encrypted), PKN: 1, CID: 8078816096596009384"
"13","0.069529","216.58.202.78","192.168.1.114","TLSv1.2","123","Application Data"
"14","0.070131","192.168.1.114","216.58.202.78","TLSv1.2","92","Application Data"
"15","0.072431","216.58.202.78","192.168.1.114","TLSv1.2","92","Application Data"
"16","0.076993","216.58.202.78","192.168.1.114","TCP","54","443  >  50616 [ACK] Seq=264 Ack=1405 Win=46080 Len=0"
"17","0.084408","216.58.202.78","192.168.1.114","QUIC","1392","Rejection, PKN: 2, CID: 8078816096596009384"
"18","0.089832","192.168.1.114","216.58.202.78","QUIC","1392","Client Hello, PKN: 2, CID: 8078816096596009384"
"19","0.114062","192.168.1.114","216.58.202.78","TCP","54","50616  >  443 [ACK] Seq=1443 Ack=264 Win=65792 Len=0"
"20","0.115159","192.168.1.114","216.58.202.78","QUIC","80","Payload (Encrypted), PKN: 3, CID: 8078816096596009384"
"21","0.147242","192.168.1.114","216.58.202.78","QUIC","1392","Client Hello, PKN: 4, CID: 8078816096596009384"
"22","0.149829","216.58.202.78","192.168.1.114","TCP","54","443  >  50616 [ACK] Seq=264 Ack=1443 Win=46080 Len=0"
"23","0.204764","216.58.202.78","192.168.1.114","TLSv1.2","347","Application Data"
"24","0.205533","216.58.202.78","192.168.1.114","TLSv1.2","275","Application Data, Application Data"
"25","0.205675","216.58.202.78","192.168.1.114","TLSv1.2","100","Application Data"
"26","0.205720","192.168.1.114","216.58.202.78","TCP","54","50616  >  443 [ACK] Seq=1443 Ack=778 Win=65280 Len=0"
"27","0.206311","192.168.1.114","216.58.202.78","TLSv1.2","100","Application Data"
"28","0.218808","216.58.202.78","192.168.1.114","QUIC","83","Payload (Encrypted), PKN: 3, CID: 8078816096596009384"
"29","0.226523","216.58.202.78","192.168.1.114","TCP","54","443  >  50616 [ACK] Seq=824 Ack=1489 Win=46080 Len=0"
"30","0.254153","216.58.202.78","192.168.1.114","QUIC","1392","Rejection, PKN: 4, CID: 8078816096596009384"
"31","0.255058","216.58.202.78","192.168.1.114","QUIC","1392","Payload (Encrypted), PKN: 5"
"32","0.255187","216.58.202.78","192.168.1.114","QUIC","73","Payload (Encrypted), PKN: 6"
"33","0.256193","192.168.1.114","216.58.202.78","QUIC","100","Payload (Encrypted), PKN: 5, CID: 8078816096596009384"
"34","0.281900","192.168.1.114","216.58.202.78","QUIC","77","Payload (Encrypted), PKN: 6, CID: 8078816096596009384"
"35","0.348971","216.58.202.78","192.168.1.114","QUIC","69","Payload (Encrypted), PKN: 7"
"36","3.776980","192.168.1.114","157.240.12.13","TCP","55","[TCP segment of a reassembled PDU]"
"37","3.804178","157.240.12.13","192.168.1.114","TCP","54","443  >  50424 [ACK] Seq=1 Ack=2 Win=1013 Len=0"
"38","3.992504","192.168.1.114","64.233.190.188","TCP","55","50418  >  5228 [ACK] Seq=1 Ack=1 Win=257 Len=1"
"39","4.056448","64.233.190.188","192.168.1.114","TCP","54","5228  >  50418 [RST] Seq=1 Win=0 Len=0"
"40","4.188811","192.168.1.114","64.233.190.189","QUIC","65","Payload (Encrypted), PKN: 8, CID: 2111989944527357651"
"41","4.278510","64.233.190.189","192.168.1.114","QUIC","72","Payload (Encrypted), PKN: 9"
"42","4.587561","192.168.1.145","192.168.1.255","UDP","86","57621  >  57621 Len=44"
"43","5.651243","192.168.1.114","157.240.12.13","TCP","55","[TCP segment of a reassembled PDU]"
"44","5.671152","157.240.12.13","192.168.1.114","TCP","54","443  >  50611 [ACK] Seq=1 Ack=2 Win=120 Len=0"
"45","5.682610","192.168.1.114","64.233.190.189","SSL","55","Continuation Data"
